id;template_id;line_number;actor_role;actor_first_name;actor_last_name;text;created_at
64673c13-dd23-4877-8bff-78b5cd0f43ac;b69676e3-6e0c-467e-9b81-6683ed1583bc;1;Narrator;Samuel;Rivers;In the shadow of the Arizona mountains, where two worlds collided, an unexpected love was about to bloom.;2025-12-02 02:57:49.452328+00
e9198bb7-4d35-4ca2-a22a-471331e1c050;b69676e3-6e0c-467e-9b81-6683ed1583bc;2;Apache Warrior;Running;Bear;You should not be here. These lands are dangerous for your kind.;2025-12-02 02:57:49.452328+00
08a7e228-b3ba-4d93-b2a9-4068b2fb8c0b;b69676e3-6e0c-467e-9b81-6683ed1583bc;3;Settler Woman;Sarah;McCoy;I know the risks, but something drew me here. Perhaps it was fate.;2025-12-02 02:57:49.452328+00
a65f347b-8a51-4df9-9647-054007939b25;b69676e3-6e0c-467e-9b81-6683ed1583bc;4;Apache Warrior;Running;Bear;Fate is a cruel mistress. Our peoples are at war.;2025-12-02 02:57:49.452328+00
f9d231f4-73bd-4415-9574-8f10bc5e972c;b69676e3-6e0c-467e-9b81-6683ed1583bc;5;Settler Woman;Sarah;McCoy;Then let us be the bridge between them. Love knows no boundaries.;2025-12-02 02:57:49.452328+00
4058b2b2-18db-4d81-af9a-01ba47a795d2;edcfc7df-9c3e-4b77-a4d1-3318401df1ef;1;Narrator;Samuel;Rivers;Among the Lakota people, tradition and duty often guided the heart.;2025-12-02 02:57:49.452328+00
da66baf8-4287-451b-a7d8-99c4a65151d5;edcfc7df-9c3e-4b77-a4d1-3318401df1ef;2;Lakota Chief;Black;Hawk;This union will strengthen our tribe. You will marry at the next full moon.;2025-12-02 02:57:49.452328+00
662da8b4-8a72-49a7-97af-920ce2d8963e;edcfc7df-9c3e-4b77-a4d1-3318401df1ef;3;Young Warrior;Swift;Eagle;I will honor my duty to the tribe, though my heart is uncertain.;2025-12-02 02:57:49.452328+00
6703c891-db71-47df-bc3d-d2e38fd5729a;edcfc7df-9c3e-4b77-a4d1-3318401df1ef;4;Tribal Maiden;Morning;Star;We are strangers bound by tradition. Perhaps in time, we will find something more.;2025-12-02 02:57:49.452328+00
79252dd2-4057-4c29-99e7-b2ba65ecc0ea;edcfc7df-9c3e-4b77-a4d1-3318401df1ef;5;Narrator;Samuel;Rivers;What began as duty would soon blossom into a love neither expected.;2025-12-02 02:57:49.452328+00
7c284ac4-df12-4b3d-a95d-544ef7005928;e9f37df5-0a22-40ae-8f92-3edf4b682f96;1;Narrator;Samuel;Rivers;Two families, both alike in dignity, in fair frontier where we lay our scene.;2025-12-02 02:57:49.452328+00
753d00eb-19a1-4789-a6e7-92bd818ff978;e9f37df5-0a22-40ae-8f92-3edf4b682f96;2;Rancher's Son;Jake;Morrison;Our fathers' feud means nothing to me. You are all I see.;2025-12-02 02:57:49.452328+00
22387327-39f9-4ea3-bfa8-ea372a2b6395;e9f37df5-0a22-40ae-8f92-3edf4b682f96;3;Settler's Daughter;Sarah;McCoy;They will never accept us together. Our love is forbidden.;2025-12-02 02:57:49.452328+00
381024a8-63b6-40cd-bfbc-1746610e89d3;e9f37df5-0a22-40ae-8f92-3edf4b682f96;4;Rancher's Son;Jake;Morrison;Then we shall forge our own path, away from this blood feud.;2025-12-02 02:57:49.452328+00
d0b5ba06-401c-47d4-b322-2f102e196fd5;e9f37df5-0a22-40ae-8f92-3edf4b682f96;5;Narrator;Samuel;Rivers;In the untamed West, love would prove stronger than hate.;2025-12-02 02:57:49.452328+00
